iter	Logloss
0	0.6699205203
1	0.6481452306
2	0.6290886247
3	0.611241278
4	0.5953786408
5	0.582423788
6	0.5695822765
7	0.5598380396
8	0.55096875
9	0.5436561218
10	0.5363632359
11	0.5291338126
12	0.5231109006
13	0.5167887781
14	0.5112615025
15	0.505296607
16	0.5002704787
17	0.4964842293
18	0.4929337999
19	0.488931316
20	0.4857164649
21	0.4820115764
22	0.4792623845
23	0.4769965548
24	0.4741478392
25	0.471412328
26	0.4682226361
27	0.4659112796
28	0.4635114644
29	0.4612138322
30	0.4589907579
31	0.4572070573
32	0.4555512692
33	0.453188347
34	0.4518816989
35	0.4503601953
36	0.4490632557
37	0.4470949735
38	0.4454130261
39	0.443618456
40	0.4420345502
41	0.4405785626
42	0.439209568
43	0.4372342601
44	0.4361009802
45	0.435062426
46	0.4340649494
47	0.4328675578
48	0.4320568328
49	0.4305555465
50	0.4297230464
51	0.4285182189
52	0.4268921112
53	0.4261841329
54	0.4251797257
55	0.4241910854
56	0.4229400875
57	0.4221064777
58	0.4210402072
59	0.4203293722
60	0.419655414
61	0.4189349524
62	0.4175535535
63	0.416670797
64	0.4158009012
65	0.4144961042
66	0.4139686723
67	0.4128071936
68	0.4119456245
69	0.4111575085
70	0.4106224705
71	0.4100310574
72	0.4094882159
73	0.4089755117
74	0.408356449
75	0.4076206594
76	0.4072869706
77	0.4061161141
78	0.4057488364
79	0.4049521384
80	0.4044249424
81	0.4035198738
82	0.4026945088
83	0.4016332606
84	0.4009116815
85	0.4003782788
86	0.3996311835
87	0.3990191515
88	0.3981781705
89	0.3976463413
90	0.39727469
91	0.3967849512
92	0.396241648
93	0.3957420517
94	0.3953531789
95	0.3949591985
96	0.3946553753
97	0.3941642594
98	0.3931216804
99	0.3928073433
100	0.3925152332
101	0.3921218246
102	0.3916732718
103	0.391332144
104	0.3907997609
105	0.390442816
106	0.3899210458
107	0.389635813
108	0.3891609861
109	0.3888836977
110	0.3886535949
111	0.3883092864
112	0.3880078286
113	0.3874421208
114	0.3870729329
115	0.3866571147
116	0.3860180768
117	0.3857829947
118	0.3853355142
119	0.3846385672
120	0.3843536388
121	0.3838740758
122	0.3833289294
123	0.3831008687
124	0.3828416755
125	0.3826415137
126	0.3820771282
127	0.381720724
128	0.3814036818
129	0.3811676341
130	0.3807074153
131	0.3804304624
132	0.3800069005
133	0.3795615075
134	0.3793670657
135	0.3791376664
136	0.378741237
137	0.3779185607
138	0.3776502
139	0.3773052225
140	0.3770006151
141	0.3763031663
142	0.3759822986
143	0.3754013473
144	0.3748316219
145	0.3746439487
146	0.3737637967
147	0.3733562664
148	0.3730539477
149	0.3727474454
150	0.3724570527
151	0.3721829651
152	0.3718384027
153	0.3712047985
154	0.3709953534
155	0.3699725463
156	0.3694039312
157	0.3692036832
158	0.3690134918
159	0.3685857809
160	0.3680517355
161	0.3678941999
162	0.3676330174
163	0.36730636
164	0.3670850241
165	0.3668909715
166	0.3667211324
167	0.3663265374
168	0.366046134
169	0.365615103
170	0.3653508326
171	0.3650938788
172	0.3648913374
173	0.3645851525
174	0.3643072484
175	0.3640949983
176	0.3636651208
177	0.3634287272
178	0.3632456728
179	0.3627762819
180	0.3624026924
181	0.3618720092
182	0.3613696933
183	0.3608766428
184	0.3607060381
185	0.360548317
186	0.3604084818
187	0.360224664
188	0.3597281743
189	0.3594776834
190	0.359400676
191	0.3588105787
192	0.3584863069
193	0.3579867593
194	0.3577377592
195	0.3575022819
196	0.3574297177
197	0.3570430723
198	0.3565485691
199	0.3564654085
200	0.3561878569
201	0.3559408024
202	0.355662301
203	0.3547597904
204	0.35440409
205	0.3541594252
206	0.353773535
207	0.3534454923
208	0.352782176
209	0.3522709431
210	0.3518590294
211	0.3516280678
212	0.3513664796
213	0.3510677331
214	0.3508727347
215	0.350690191
216	0.3504453261
217	0.3502302402
218	0.3500842474
219	0.3499268158
220	0.349704463
221	0.349155296
222	0.3487878453
223	0.3485066452
224	0.3479721954
225	0.3477125542
226	0.3473564533
227	0.3470471932
228	0.3466647681
229	0.3463519603
230	0.3461595702
231	0.3457285401
232	0.3455769807
233	0.3452681488
234	0.3450966493
235	0.3447076903
236	0.3443749146
237	0.3442173369
238	0.3439262104
239	0.3432267653
240	0.3427975525
241	0.3425986909
242	0.3423277479
243	0.3418337907
244	0.341682243
245	0.3415224895
246	0.3411406383
247	0.340808529
248	0.3405268991
249	0.3401787945
250	0.339625793
251	0.339511577
252	0.3391053626
253	0.3387889838
254	0.3385308373
255	0.3381990355
256	0.3376485911
257	0.3371728271
258	0.3366965234
259	0.3362389984
260	0.3357754753
261	0.3352428634
262	0.3349869092
263	0.3346823514
264	0.3343066064
265	0.3338993462
266	0.3336594964
267	0.3333474455
268	0.3329174308
269	0.3324980492
270	0.3320944967
271	0.3316572877
272	0.3309883322
273	0.330466438
274	0.3301794176
275	0.3297078661
276	0.3293962773
277	0.3291732479
278	0.3289702798
279	0.3287299682
280	0.3284508669
281	0.3278654539
282	0.3274132688
283	0.3270201544
284	0.3266816337
285	0.3263807151
286	0.3258192247
287	0.3253838763
288	0.3250363915
289	0.3245897232
290	0.3239892428
291	0.3236158942
292	0.3232050453
293	0.3226869314
294	0.3224012931
295	0.3220915632
296	0.3215932051
297	0.3212587384
298	0.3208767903
299	0.3203469341
300	0.3199865688
301	0.319600728
302	0.3194095618
303	0.3190662887
304	0.3186125437
305	0.3182716208
306	0.3177621593
307	0.31751687
308	0.3170014312
309	0.3164667669
310	0.3159255817
311	0.3156463228
312	0.3152126951
313	0.314705273
314	0.3141746337
315	0.3139375164
316	0.3135435898
317	0.3128491896
318	0.3124316503
319	0.3120674444
320	0.3116564533
321	0.3113993428
322	0.3110658587
323	0.3105979994
324	0.3102320657
325	0.3100060454
326	0.3096878989
327	0.3092804252
328	0.3088590539
329	0.3083952902
330	0.3080634149
331	0.3075921125
332	0.3073716287
333	0.3069659236
334	0.3065880305
335	0.3064069381
336	0.3060724363
337	0.3057428902
338	0.3055848659
339	0.3051468016
340	0.3048640825
341	0.304629726
342	0.3041077283
343	0.3038275384
344	0.3032998966
345	0.3030341176
346	0.3026436877
347	0.3023450449
348	0.3021957785
349	0.3018460521
350	0.3015685949
351	0.301262315
352	0.3007745452
353	0.300519709
354	0.3001360711
355	0.2999064217
356	0.2994517634
357	0.2990194274
358	0.2986967109
359	0.2983232386
360	0.2979456883
361	0.2976076121
362	0.2972944317
363	0.2969881608
364	0.2966843653
365	0.2961526167
366	0.2956507797
367	0.2953722766
368	0.2950987901
369	0.2946411846
370	0.2943880602
371	0.2940899086
372	0.2937979011
373	0.2934761366
374	0.2930841443
375	0.2928050921
376	0.2925419456
377	0.2921597618
378	0.2919820634
379	0.2915771234
380	0.291290835
381	0.2911939651
382	0.2909842791
383	0.2907773697
384	0.2903925249
385	0.2902171843
386	0.2898171487
387	0.2896124304
388	0.289357126
389	0.2889676241
390	0.288590868
391	0.2882268534
392	0.2878911145
393	0.2876013286
394	0.287322592
395	0.2868725616
396	0.2865613538
397	0.2864201605
398	0.2861346531
399	0.2857219239
400	0.285327378
401	0.2850604418
402	0.2848166841
403	0.2845607144
404	0.284160573
405	0.283996634
406	0.2838104369
407	0.2836423114
408	0.2834692528
409	0.2831268814
410	0.282738869
411	0.2824163831
412	0.2821088112
413	0.2816718731
414	0.2814451217
415	0.2811867652
416	0.2809114704
417	0.2807544795
418	0.2805212937
419	0.2803150927
420	0.2800549733
421	0.2798491577
422	0.2796770478
423	0.2792452067
424	0.2789839957
425	0.2786844973
426	0.2783713967
427	0.2779505104
428	0.2776773371
429	0.2774310562
430	0.2772133416
431	0.2769605471
432	0.2767918253
433	0.2765492884
434	0.2764089511
435	0.2761473225
436	0.2758157525
437	0.275675728
438	0.2755257454
439	0.2754074623
440	0.2751925275
441	0.2749115807
442	0.2747957668
443	0.2746555189
444	0.274446471
445	0.2742131164
446	0.2738056163
447	0.2732869631
448	0.272990301
449	0.2727640795
450	0.2725875059
451	0.2723542836
452	0.2721435138
453	0.2719518154
454	0.2717970522
455	0.271646072
456	0.2713895189
457	0.2712490605
458	0.2710780155
459	0.2708404999
460	0.2705322385
461	0.270271581
462	0.2699238071
463	0.2698038834
464	0.269612049
465	0.2693815646
466	0.2691934664
467	0.2689108047
468	0.2687733116
469	0.2684719387
470	0.2682499247
471	0.2679843457
472	0.2678756922
473	0.2674322091
474	0.267267674
475	0.2670641733
476	0.2668061279
477	0.2667243766
478	0.2662558577
479	0.2660952603
480	0.2659350885
481	0.2656450463
482	0.2654310714
483	0.2652166136
484	0.2649070212
485	0.264683755
486	0.2644661747
487	0.2642633921
488	0.264088185
489	0.2638273709
490	0.2635967684
491	0.2634095353
492	0.2632821841
493	0.2629679187
494	0.2626108378
495	0.2624126904
496	0.2621469462
497	0.2620099075
498	0.2618837232
499	0.261697151
