iter	Passed	Remaining
0	106	52953
1	201	50063
2	281	46635
3	367	45540
4	449	44490
5	546	45018
6	639	45039
7	731	44963
8	813	44400
9	897	43981
10	989	43971
11	1090	44339
12	1182	44301
13	1286	44663
14	1369	44278
15	1467	44390
16	1553	44129
17	1641	43945
18	1718	43508
19	1816	43602
20	1950	44494
21	2059	44740
22	2135	44297
23	2221	44061
24	2312	43937
25	2391	43604
26	2485	43541
27	2569	43311
28	2649	43033
29	2750	43086
30	2842	43004
31	2913	42616
32	2998	42428
33	3096	42436
34	3172	42150
35	3257	41980
36	3324	41602
37	3409	41448
38	3492	41289
39	3576	41128
40	3663	41012
41	3738	40770
42	3829	40701
43	3912	40552
44	3993	40374
45	4084	40312
46	4160	40100
47	4246	39987
48	4322	39787
49	4412	39715
50	4493	39562
51	4589	39541
52	4686	39524
53	4757	39291
54	4825	39039
55	4911	38940
56	5005	38905
57	5079	38706
58	5163	38593
59	5240	38429
60	5321	38295
61	5412	38234
62	5503	38174
63	5584	38041
64	5660	37881
65	5752	37827
66	5825	37647
67	5926	37649
68	6010	37542
69	6101	37477
70	6183	37363
71	6280	37336
72	6352	37155
73	6424	36985
74	6510	36891
75	6576	36688
76	6641	36487
77	6742	36480
78	6805	36267
79	6902	36236
80	6977	36094
81	7059	35988
82	7160	35976
83	7260	35955
84	7355	35913
85	7429	35766
86	7540	35794
87	7619	35674
88	7704	35578
89	7794	35507
90	7866	35358
91	7957	35290
92	8040	35188
93	8127	35102
94	8214	35019
95	8292	34898
96	8361	34740
97	8443	34633
98	8555	34653
99	8618	34473
100	8693	34343
101	8773	34235
102	8855	34132
103	8956	34103
104	9035	33990
105	9107	33853
106	9202	33800
107	9274	33662
108	9367	33602
109	9443	33482
110	9524	33377
111	9604	33273
112	9669	33116
113	9760	33049
114	9838	32937
115	9917	32830
116	10007	32758
117	10085	32648
118	10158	32525
119	10258	32484
120	10336	32377
121	10417	32276
122	10497	32173
123	10566	32040
124	10645	31937
125	10706	31779
126	10784	31673
127	10860	31564
128	10947	31484
129	11030	31393
130	11120	31325
131	11189	31196
132	11272	31105
133	11367	31048
134	11437	30923
135	11518	30829
136	11605	30750
137	11700	30691
138	11770	30570
139	11869	30522
140	11950	30426
141	12044	30365
142	12116	30249
143	12199	30159
144	12292	30095
145	12351	29948
146	12431	29852
147	12509	29751
148	12571	29615
149	12657	29534
150	12728	29419
151	12802	29309
152	12883	29219
153	12978	29158
154	13046	29037
155	13154	29006
156	13244	28934
157	13308	28806
158	13379	28694
159	13480	28645
160	13585	28606
161	13645	28469
162	13707	28339
163	13788	28249
164	13876	28173
165	13946	28060
166	14034	27984
167	14125	27914
168	14195	27803
169	14301	27761
170	14371	27650
171	14457	27569
172	14531	27467
173	14613	27378
174	14702	27304
175	14779	27207
176	14867	27131
177	14948	27042
178	15016	26928
179	15100	26844
180	15178	26751
181	15290	26716
182	15398	26673
183	15483	26591
184	15553	26482
185	15627	26382
186	15701	26280
187	15768	26168
188	15859	26096
189	15939	26006
190	16004	25892
191	16094	25818
192	16180	25738
193	16269	25662
194	16367	25600
195	16465	25538
196	16525	25417
197	16622	25353
198	16713	25280
199	16775	25162
200	16848	25063
201	16933	24980
202	17033	24921
203	17138	24867
204	17218	24778
205	17288	24674
206	17375	24594
207	17473	24529
208	17563	24455
209	17649	24373
210	17735	24291
211	17821	24210
212	17908	24130
213	17988	24040
214	18069	23952
215	18155	23871
216	18251	23802
217	18323	23703
218	18392	23599
219	18479	23519
220	18568	23441
221	18670	23380
222	18762	23305
223	18825	23195
224	18909	23111
225	18987	23020
226	19068	22932
227	19146	22841
228	19237	22765
229	19310	22668
230	19381	22570
231	19484	22507
232	19554	22408
233	19649	22336
234	19727	22245
235	19812	22162
236	19879	22060
237	19946	21957
238	20029	21872
239	20132	21810
240	20224	21734
241	20305	21647
242	20376	21550
243	20457	21464
244	20521	21358
245	20596	21266
246	20672	21174
247	20765	21100
248	20848	21016
249	20936	20936
250	21038	20871
251	21113	20778
252	21181	20679
253	21272	20602
254	21353	20516
255	21449	20443
256	21550	20376
257	21647	20305
258	21734	20223
259	21819	20141
260	21901	20054
261	21997	19982
262	22076	19893
263	22152	19802
264	22242	19724
265	22329	19643
266	22405	19552
267	22493	19472
268	22584	19394
269	22680	19320
270	22752	19225
271	22841	19146
272	22932	19068
273	23007	18977
274	23093	18894
275	23174	18808
276	23312	18767
277	23408	18693
278	23486	18604
279	23557	18509
280	23629	18416
281	23713	18331
282	23808	18256
283	23891	18171
284	23973	18085
285	24049	17995
286	24148	17921
287	24229	17835
288	24383	17802
289	24550	17778
290	24683	17727
291	24889	17729
292	25049	17697
293	25203	17659
294	25321	17596
295	25426	17523
296	25514	17439
297	25603	17355
298	25687	17268
299	25781	17187
300	25865	17100
301	25953	17016
302	26054	16939
303	26162	16868
304	26251	16783
305	26331	16693
306	26413	16605
307	26503	16521
308	26599	16441
309	26688	16357
310	26768	16267
311	26843	16174
312	26944	16097
313	27042	16018
314	27138	15938
315	27211	15844
316	27297	15758
317	27388	15675
318	27475	15589
319	27566	15505
320	27654	15420
321	27750	15340
322	27830	15250
323	27930	15172
324	28027	15091
325	28113	15005
326	28201	14919
327	28284	14832
328	28366	14743
329	28449	14655
330	28540	14572
331	28620	14482
332	28683	14384
333	28767	14297
334	28857	14213
335	28939	14125
336	29034	14043
337	29128	13961
338	29207	13871
339	29287	13782
340	29359	13689
341	29430	13596
342	29519	13512
343	29587	13417
344	29672	13331
345	29755	13243
346	29844	13159
347	29920	13068
348	30009	12984
349	30089	12895
350	30176	12809
351	30281	12732
352	30368	12646
353	30450	12558
354	30533	12471
355	30619	12385
356	30714	12303
357	30800	12216
358	30878	12127
359	30951	12036
360	31050	11955
361	31135	11869
362	31225	11784
363	31320	11702
364	31407	11616
365	31500	11533
366	31589	11448
367	31679	11363
368	31766	11277
369	31850	11190
370	31924	11100
371	31993	11008
372	32085	10924
373	32166	10836
374	32249	10749
375	32337	10664
376	32434	10582
377	32523	10496
378	32608	10410
379	32697	10325
380	32789	10241
381	32851	10147
382	32941	10062
383	33028	9977
384	33115	9891
385	33205	9806
386	33307	9725
387	33380	9635
388	33457	9546
389	33543	9460
390	33649	9380
391	33736	9294
392	33822	9208
393	33911	9123
394	33992	9035
395	34091	8953
396	34181	8868
397	34269	8782
398	34370	8700
399	34468	8617
400	34546	8528
401	34641	8445
402	34721	8357
403	34827	8275
404	34917	8190
405	34987	8100
406	35076	8015
407	35170	7930
408	35253	7843
409	35329	7755
410	35415	7668
411	35502	7583
412	35602	7499
413	35690	7413
414	35775	7327
415	35849	7238
416	35927	7150
417	36000	7062
418	36110	6980
419	36185	6892
420	36281	6808
421	36357	6720
422	36442	6633
423	36528	6547
424	36619	6462
425	36713	6377
426	36798	6291
427	36901	6207
428	36992	6122
429	37085	6037
430	37176	5951
431	37257	5864
432	37337	5777
433	37420	5690
434	37482	5600
435	37557	5513
436	37644	5427
437	37719	5339
438	37784	5250
439	37864	5163
440	37947	5076
441	38041	4991
442	38100	4902
443	38176	4815
444	38257	4728
445	38353	4643
446	38446	4558
447	38532	4472
448	38649	4389
449	38741	4304
450	38820	4217
451	38906	4131
452	38995	4045
453	39082	3959
454	39166	3873
455	39238	3786
456	39335	3701
457	39405	3613
458	39475	3526
459	39560	3440
460	39649	3354
461	39758	3270
462	39856	3185
463	39945	3099
464	40036	3013
465	40127	2927
466	40203	2840
467	40295	2755
468	40410	2671
469	40503	2585
470	40583	2498
471	40660	2412
472	40725	2324
473	40810	2238
474	40885	2151
475	40969	2065
476	41062	1979
477	41144	1893
478	41239	1807
479	41321	1721
480	41403	1635
481	41491	1549
482	41589	1463
483	41695	1378
484	41803	1292
485	41894	1206
486	41980	1120
487	42066	1034
488	42135	947
489	42208	861
490	42309	775
491	42382	689
492	42464	602
493	42563	516
494	42648	430
495	42734	344
496	42822	258
497	42915	172
498	42992	86
499	43103	0
